league,match_week,start_date,end_date
Premier-League,1,2024-08-16,2024-08-19
Premier-League,2,2024-08-24,2024-08-25
Premier-League,3,2024-08-31,2024-09-01
Premier-League,4,2024-09-14,2024-09-15
Premier-League,5,2024-09-21,2024-09-22
Premier-League,6,2024-09-28,2024-09-30
Premier-League,7,2024-10-05,2024-10-06
Premier-League,8,2024-10-19,2024-10-21
Premier-League,9,2024-10-25,2024-10-27
Premier-League,10,2024-11-02,2024-11-04
Premier-League,11,2024-11-09,2024-11-10
Premier-League,12,2024-11-23,2024-11-25
Premier-League,13,2024-11-29,2024-12-01
Premier-League,14,2024-12-03,2024-12-05
Premier-League,15,2024-12-07,2024-12-09
Premier-League,16,2024-12-14,2024-12-16
Premier-League,17,2024-12-21,2024-12-22
Premier-League,18,2024-12-26,2024-12-27
Premier-League,19,2024-12-29,2025-01-01
Premier-League,20,2025-01-04,2025-01-06
Premier-League,21,2025-01-14,2025-01-16
Premier-League,22,2025-01-18,2025-01-20
Premier-League,23,2025-01-25,2025-01-26
Premier-League,24,2025-02-01,2025-02-03
Premier-League,25,2025-02-14,2025-02-16
Premier-League,26,2025-02-21,2025-02-23
Premier-League,27,2025-02-25,2025-02-26
Premier-League,28,2025-03-08,2025-03-08
Premier-League,29,2025-03-15,2025-03-15
Premier-League,30,2025-04-01,2025-04-02
Premier-League,31,2025-04-05,2025-04-05
Premier-League,32,2025-04-12,2025-04-12
Premier-League,33,2025-04-19,2025-04-19
Premier-League,34,2025-04-26,2025-04-26
Premier-League,35,2025-05-03,2025-05-03
Premier-League,36,2025-05-10,2025-05-10
Premier-League,37,2025-05-18,2025-05-18
Premier-League,38,2025-05-25,2025-05-25
Serie-A,1,2024-08-17,2024-08-19
Serie-A,2,2024-08-24,2024-08-26
Serie-A,3,2024-08-30,2024-09-01
Serie-A,4,2024-09-14,2024-09-16
Serie-A,5,2024-09-20,2024-09-24
Serie-A,6,2024-09-27,2024-09-30
Serie-A,7,2024-10-04,2024-10-06
Serie-A,8,2024-10-19,2024-10-21
Serie-A,9,2024-10-25,2024-10-27
Serie-A,10,2024-10-29,2024-10-31
Serie-A,11,2024-11-02,2024-11-04
Serie-A,12,2024-11-07,2024-11-10
Serie-A,13,2024-11-23,2024-11-25
Serie-A,14,2024-11-29,2024-12-02
Serie-A,15,2024-12-06,2024-12-09
Serie-A,16,2024-12-13,2024-12-16
Serie-A,17,2024-12-20,2024-12-23
Serie-A,18,2024-12-28,2024-12-30
Serie-A,19,2025-01-04,2025-01-15
Serie-A,20,2025-01-10,2025-01-13
Serie-A,21,2025-01-17,2025-01-20
Serie-A,22,2025-01-24,2025-01-27
Serie-A,23,2025-01-31,2025-02-03
Serie-A,24,2025-02-09,2025-02-09
Serie-A,25,2025-02-16,2025-02-16
Serie-A,26,2025-02-23,2025-02-23
Serie-A,27,2025-03-02,2025-03-02
Serie-A,28,2025-03-09,2025-03-09
Serie-A,29,2025-03-16,2025-03-16
Serie-A,30,2025-03-30,2025-03-30
Serie-A,31,2025-04-06,2025-04-06
Serie-A,32,2025-04-13,2025-04-13
Serie-A,33,2025-04-20,2025-04-20
Serie-A,34,2025-04-27,2025-04-27
Serie-A,35,2025-05-04,2025-05-04
Serie-A,36,2025-05-11,2025-05-11
Serie-A,37,2025-05-18,2025-05-18
Serie-A,38,2025-05-25,2025-05-25
La-Liga,1,2024-08-15,2024-08-19
La-Liga,2,2024-08-23,2024-08-25
La-Liga,3,2024-08-26,2024-09-18
La-Liga,4,2024-08-31,2024-09-01
La-Liga,5,2024-09-13,2024-09-16
La-Liga,6,2024-09-20,2024-09-23
La-Liga,7,2024-09-17,2024-09-26
La-Liga,8,2024-09-27,2024-09-30
La-Liga,9,2024-10-04,2024-10-06
La-Liga,10,2024-10-18,2024-10-21
La-Liga,11,2024-10-25,2024-10-28
La-Liga,12,2024-11-01,2025-01-03
La-Liga,13,2024-11-08,2024-12-18
La-Liga,14,2024-11-22,2024-11-24
La-Liga,15,2024-11-29,2024-12-02
La-Liga,16,2024-12-06,2024-12-09
La-Liga,17,2024-12-13,2024-12-15
La-Liga,18,2024-12-20,2024-12-22
La-Liga,19,2024-12-03,2025-01-13
La-Liga,20,2025-01-17,2025-01-20
La-Liga,21,2025-01-26,2025-01-26
La-Liga,22,2025-02-02,2025-02-02
La-Liga,23,2025-02-09,2025-02-09
La-Liga,24,2025-02-16,2025-02-16
La-Liga,25,2025-02-23,2025-02-23
La-Liga,26,2025-03-02,2025-03-02
La-Liga,27,2025-03-09,2025-03-09
La-Liga,28,2025-03-16,2025-03-16
La-Liga,29,2025-03-30,2025-03-30
La-Liga,30,2025-04-06,2025-04-06
La-Liga,31,2025-04-13,2025-04-13
La-Liga,32,2025-04-20,2025-04-20
La-Liga,33,2025-04-23,2025-04-23
La-Liga,34,2025-05-04,2025-05-04
La-Liga,35,2025-05-11,2025-05-11
La-Liga,36,2025-05-14,2025-05-14
La-Liga,37,2025-05-18,2025-05-18
La-Liga,38,2025-05-25,2025-05-25
League-1,1,2024-08-16,2024-08-18
League-1,2,2024-08-23,2024-08-25
League-1,3,2024-08-30,2024-09-01
League-1,4,2024-09-13,2024-09-15
League-1,5,2024-09-20,2024-09-22
League-1,6,2024-09-27,2024-09-29
League-1,7,2024-10-04,2024-10-06
League-1,8,2024-10-18,2024-10-20
League-1,9,2024-10-25,2024-10-27
League-1,10,2024-11-01,2024-11-03
League-1,11,2024-11-08,2024-11-10
League-1,12,2024-11-22,2024-11-24
League-1,13,2024-11-29,2024-12-01
League-1,14,2024-12-06,2024-12-08
League-1,15,2024-12-13,2024-12-15
League-1,16,2024-12-18,2025-01-05
League-1,17,2025-01-10,2025-01-12
League-1,18,2025-01-17,2025-01-19
League-1,19,2025-01-24,2025-01-26
League-1,20,2025-02-02,2025-02-02
League-1,21,2025-02-09,2025-02-09
League-1,22,2025-02-16,2025-02-16
League-1,23,2025-02-23,2025-02-23
League-1,24,2025-03-02,2025-03-02
League-1,25,2025-03-09,2025-03-09
League-1,26,2025-03-16,2025-03-16
League-1,27,2025-03-30,2025-03-30
League-1,28,2025-04-06,2025-04-06
League-1,29,2025-04-13,2025-04-13
League-1,30,2025-04-20,2025-04-20
League-1,31,2025-04-27,2025-04-27
League-1,32,2025-05-04,2025-05-04
League-1,33,2025-05-11,2025-05-11
League-1,34,2025-05-18,2025-05-18
Bundesliga,1,2024-08-23,2024-08-25
Bundesliga,2,2024-08-30,2024-09-01
Bundesliga,3,2024-09-13,2024-09-15
Bundesliga,4,2024-09-20,2024-09-22
Bundesliga,5,2024-09-27,2024-09-29
Bundesliga,6,2024-10-04,2024-10-06
Bundesliga,7,2024-10-18,2024-10-20
Bundesliga,8,2024-10-25,2024-10-27
Bundesliga,9,2024-11-01,2024-11-03
Bundesliga,10,2024-11-08,2024-11-10
Bundesliga,11,2024-11-22,2024-11-24
Bundesliga,12,2024-11-29,2024-12-01
Bundesliga,13,2024-12-06,2024-12-08
Bundesliga,14,2024-12-13,2024-12-15
Bundesliga,15,2024-12-20,2024-12-22
Bundesliga,16,2025-01-10,2025-01-12
Bundesliga,17,2025-01-14,2025-01-15
Bundesliga,18,2025-01-17,2025-01-19
Bundesliga,19,2025-01-24,2025-01-26
Bundesliga,20,2025-01-31,2025-02-02
Bundesliga,21,2025-02-07,2025-02-09
Bundesliga,22,2025-02-14,2025-02-16
Bundesliga,23,2025-02-21,2025-02-23
Bundesliga,24,2025-02-28,2025-03-02
Bundesliga,25,2025-03-08,2025-03-08
Bundesliga,26,2025-03-15,2025-03-15
Bundesliga,27,2025-03-29,2025-03-29
Bundesliga,28,2025-04-05,2025-04-05
Bundesliga,29,2025-04-12,2025-04-12
Bundesliga,30,2025-04-19,2025-04-19
Bundesliga,31,2025-04-26,2025-04-26
Bundesliga,32,2025-05-03,2025-05-03
Bundesliga,33,2025-05-10,2025-05-10
Bundesliga,34,2025-05-17,2025-05-17
